Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Quin,2024-08-19 17:24:09,00:41:50,,The Rookie: Season 5: Take Back (Episode 9),,Sony UNICORN4K Smart TV,00:42:18,00:42:18,RW (Rwanda)
Quin,2024-08-19 16:42:05,00:41:42,Autoplayed: user action: User_Interaction; ,The Rookie: Season 5: The Collar (Episode 8),,Sony UNICORN4K Smart TV,00:41:43,00:41:43,RW (Rwanda)
Quin,2024-08-19 16:41:53,00:00:05,Autoplayed: user action: None; ,Trailer: The Union,TRAILER,Sony UNICORN4K Smart TV,00:00:05,00:00:05,RW (Rwanda)
Quin,2024-08-19 00:43:47,00:01:20,,Girls5eva: Season 1: Pilot (Episode 1),,TCL Malone HDR10 Smart TV,00:01:20,00:01:20,US (United States)
Quin,2024-08-19 00:43:05,00:00:38,Autoplayed: user action: None; ,Season 3 Supporting Character Clip: Girls5eva,HOOK,TCL Malone HDR10 Smart TV,00:00:38,00:00:38,US (United States)
Quin,2024-08-19 00:42:50,00:00:04,Autoplayed: user action: None; ,The Great British Baking Show: Collection 7 (Trailer),TRAILER,TCL Malone HDR10 Smart TV,00:00:04,00:00:04,US (United States)
Quin,2024-08-19 00:42:16,00:00:05,Autoplayed: user action: None; ,Mine: Season 1_hook_primary_16x9,HOOK,TCL Malone HDR10 Smart TV,00:00:05,00:00:05,US (United States)
Quin,2024-08-19 00:41:45,00:00:14,Autoplayed: user action: None; ,The Double (Chinese Drama): Season 1_hook_01_16x9,HOOK,TCL Malone HDR10 Smart TV,00:00:14,00:00:14,US (United States)
Quin,2024-08-19 00:41:18,00:00:11,Autoplayed: user action: None; ,Resident Alien: Season 1_hook_01_16x9,HOOK,TCL Malone HDR10 Smart TV,00:00:11,00:00:11,US (United States)
Quin,2024-08-19 00:41:01,00:00:05,Autoplayed: user action: None; ,"Season 1 Main Character Intro Clip 2: Ready, Set, Love",HOOK,TCL Malone HDR10 Smart TV,00:00:05,00:00:05,US (United States)
Quin,2024-08-19 00:39:54,00:00:18,Autoplayed: user action: None; ,The Great British Baking Show: Collection 7 (Trailer),TRAILER,TCL Malone HDR10 Smart TV,00:00:18,Not latest view,US (United States)
Quin,2024-08-19 00:39:33,00:00:10,Autoplayed: user action: None; ,Girlfriends: Season 1_hook_01_16x9,HOOK,TCL Malone HDR10 Smart TV,00:00:10,00:00:10,US (United States)
Quin,2024-08-19 00:38:18,00:00:55,Autoplayed: user action: None; ,Season 1 Act 2 Conflict Clip: Machos alfa,HOOK,TCL Malone HDR10 Smart TV,00:00:55,00:00:55,US (United States)
Quin,2024-08-19 00:37:27,00:00:18,Autoplayed: user action: None; ,Too Hot to Handle: Season 1 - Upper Bound Clip 8,HOOK,TCL Malone HDR10 Smart TV,00:00:18,00:00:18,US (United States)
Quin,2024-08-19 00:36:55,00:00:15,Autoplayed: user action: None; ,Season 1 Supporting Character Clip: A Good Girl's Guide to Murder,HOOK,TCL Malone HDR10 Smart TV,00:00:15,00:00:15,US (United States)
Quin,2024-08-19 00:36:04,00:00:27,Autoplayed: user action: None; ,Vincenzo: Season 1_hook_01_16x9,HOOK,TCL Malone HDR10 Smart TV,00:00:27,00:00:27,US (United States)
Quin,2024-08-19 00:35:51,00:00:07,Autoplayed: user action: None; ,Fire Country: Season 1_hook_01_16x9,HOOK,TCL Malone HDR10 Smart TV,00:00:07,00:00:07,US (United States)
Quin,2024-08-18 23:33:31,00:00:04,Autoplayed: user action: None; ,Season 1 Main Character Clip 2: Love is Blind: Mexico,HOOK,TCL Malone HDR10 Smart TV,00:00:04,00:00:04,US (United States)
Quin,2024-08-18 23:30:50,00:02:02,,Season 4 Trailer: Emily in Paris,TRAILER,TCL Malone HDR10 Smart TV,00:02:02,00:02:02,US (United States)
Quin,2024-08-18 23:01:51,00:09:43,,Emily in Paris: Season 3: How to Lose a Designer in 10 Days (Episode 7),,TCL Malone HDR10 Smart TV,00:09:47,00:09:47,US (United States)
Quin,2024-08-18 22:51:19,00:42:02,,The Rookie: Season 5: Crossfire (Episode 7),,Samsung CE 2020 Kant-S2 DTV Smart TV,00:42:02,00:42:02,RW (Rwanda)
Quin,2024-08-18 22:29:58,00:31:37,,Emily in Paris: Season 3: Ex-en-Provence (Episode 6),,TCL Malone HDR10 Smart TV,00:31:41,00:31:41,US (United States)
Quin,2024-08-18 22:08:48,00:42:29,,The Rookie: Season 5: The Reckoning (Episode 6),,Samsung CE 2020 Kant-S2 DTV Smart TV,00:42:29,00:42:29,RW (Rwanda)
Quin,2024-08-18 21:59:53,00:29:58,,Emily in Paris: Season 3: Ooo La La Liste (Episode 5),,TCL Malone HDR10 Smart TV,00:30:02,00:30:02,US (United States)
Quin,2024-08-18 21:55:45,00:13:00,,The Rookie: Season 5: The Fugitive (Episode 5),,Samsung CE 2020 Kant-S2 DTV Smart TV,00:42:20,00:42:20,RW (Rwanda)
Quin,2024-08-18 21:31:14,00:28:36,,"Emily in Paris: Season 3: Live From Paris, It’s Emily Cooper (Episode 4)",,TCL Malone HDR10 Smart TV,00:28:40,00:28:40,US (United States)
Quin,2024-08-18 21:01:23,00:29:46,,Emily in Paris: Season 3: Coo D’état (Episode 3),,TCL Malone HDR10 Smart TV,00:29:49,00:29:49,US (United States)
Quin,2024-08-18 20:41:35,00:19:44,,Emily in Paris: Season 3: What's It All About... (Episode 2),,TCL Malone HDR10 Smart TV,00:30:17,00:30:17,US (United States)
Quin,2024-08-18 14:02:30,00:27:01,,The Rookie: Season 5: The Fugitive (Episode 5),,Samsung CE 2020 Kant-S2 DTV Smart TV,00:29:20,Not latest view,RW (Rwanda)
Quin,2024-08-18 13:20:51,00:02:23,,The Rookie: Season 5: The Fugitive (Episode 5),,Samsung CE 2020 Kant-S2 DTV Smart TV,00:02:23,Not latest view,RW (Rwanda)
Quin,2024-08-18 11:44:44,00:41:46,,The Rookie: Season 5: The Choice (Episode 4),,Samsung CE 2020 Kant-S2 DTV Smart TV,00:42:22,00:42:22,RW (Rwanda)
Quin,2024-08-18 11:02:45,00:41:56,,The Rookie: Season 5: Dye Hard (Episode 3),,Samsung CE 2020 Kant-S2 DTV Smart TV,00:42:24,00:42:24,RW (Rwanda)
Quin,2024-08-18 10:52:14,00:10:26,,The Rookie: Season 5: Labor Day (Episode 2),,Samsung CE 2020 Kant-S2 DTV Smart TV,00:42:30,00:42:30,RW (Rwanda)
Quin,2024-08-17 09:37:12,00:15:10,,The Rookie: Season 5: Labor Day (Episode 2),,Samsung CE 2020 Kant-S2 DTV Smart TV,00:32:07,Not latest view,RW (Rwanda)
Quin,2024-08-15 20:31:09,00:17:04,,The Rookie: Season 5: Labor Day (Episode 2),,Sony UNICORN4K Smart TV,00:17:25,Not latest view,RW (Rwanda)
Quin,2024-08-15 19:41:25,00:41:36,,The Rookie: Season 5: Double Down (Episode 1),,Sony UNICORN4K Smart TV,00:42:22,00:42:22,RW (Rwanda)
Quin,2024-08-15 18:55:51,00:41:47,,The Rookie: Season 4: Day in the Hole (Episode 22),,Sony UNICORN4K Smart TV,00:41:49,00:41:49,RW (Rwanda)
Quin,2024-08-15 18:21:46,00:25:51,,The Rookie: Season 4: Mother's day (Episode 21),,Sony UNICORN4K Smart TV,00:42:31,00:42:31,RW (Rwanda)
Quin,2024-08-14 22:54:04,00:16:04,,The Rookie: Season 4: Mother's day (Episode 21),,Sony UNICORN4K Smart TV,00:16:36,Not latest view,RW (Rwanda)
Quin,2024-08-14 22:15:38,00:38:20,,The Rookie: Season 4: Enervo (Episode 20),,Sony UNICORN4K Smart TV,00:42:28,00:42:28,RW (Rwanda)
Quin,2024-08-14 09:00:30,00:03:31,,The Rookie: Season 4: Enervo (Episode 20),,Sony UNICORN4K Smart TV,00:04:09,Not latest view,RW (Rwanda)
Quin,2024-08-14 08:49:29,00:10:55,,The Rookie: Season 4: Simone (Episode 19),,Sony UNICORN4K Smart TV,00:42:28,00:42:28,RW (Rwanda)
Quin,2024-08-14 04:39:28,00:12:48,,Eve: Season 1: Episode 2,,TCL Malone HDR10 Smart TV,01:05:48,01:05:48,US (United States)
Quin,2024-08-14 03:59:55,00:37:49,,Eve: Season 1: Episode 1,,TCL Malone HDR10 Smart TV,00:57:46,00:57:46,US (United States)
Quin,2024-08-14 03:59:46,00:00:06,Autoplayed: user action: None; ,Eve (Korean Drama): Season 1_hook_05_16x9,HOOK,TCL Malone HDR10 Smart TV,00:00:06,00:00:06,US (United States)
Quin,2024-08-14 03:59:28,00:00:05,Autoplayed: user action: None; ,Too Hot to Handle: Season 1 - Upper Bound Clip 8,HOOK,TCL Malone HDR10 Smart TV,00:00:05,Not latest view,US (United States)
Quin,2024-08-14 03:58:56,00:00:05,Autoplayed: user action: None; ,Trailer: Joe Rogan: Burn the Boats,TRAILER,TCL Malone HDR10 Smart TV,00:00:05,00:00:05,US (United States)
Quin,2024-08-14 03:58:41,00:00:08,Autoplayed: user action: None; ,Season 3 Plot Clip: The Umbrella Academy,HOOK,TCL Malone HDR10 Smart TV,00:00:08,00:00:08,US (United States)
Quin,2024-08-14 03:57:53,00:00:19,Autoplayed: user action: None; ,Season 2 Cinemagraph: Shahmaran,CINEMAGRAPH,TCL Malone HDR10 Smart TV,00:00:19,00:00:19,US (United States)
Quin,2024-08-13 08:29:58,00:31:34,,The Rookie: Season 4: Simone (Episode 19),,Sony UNICORN4K Smart TV,00:31:34,Not latest view,RW (Rwanda)
Quin,2024-08-13 08:19:24,00:04:03,,The Rookie: Season 4: Backstabbers (Episode 18),,Sony UNICORN4K Smart TV,00:42:26,00:42:26,RW (Rwanda)
Quin,2024-08-13 08:19:15,00:00:05,Autoplayed: user action: None; ,The Rookie: Season 1_hook_05_16x9,HOOK,Sony UNICORN4K Smart TV,00:00:05,00:00:05,RW (Rwanda)
Quin,2024-08-12 09:12:18,00:15:57,,The Rookie: Season 4: Backstabbers (Episode 18),,Sony UNICORN4K Smart TV,00:38:25,Not latest view,RW (Rwanda)
Quin,2024-08-11 20:30:28,00:26:06,,The Rookie: Season 4: Backstabbers (Episode 18),,Sony UNICORN4K Smart TV,00:22:32,Not latest view,RW (Rwanda)
Quin,2024-08-11 19:55:13,00:34:34,,The Rookie: Season 4: Coding (Episode 17),,Sony UNICORN4K Smart TV,00:42:27,00:42:27,RW (Rwanda)
Quin,2024-08-11 19:12:17,00:07:31,,The Rookie: Season 4: Coding (Episode 17),,Sony UNICORN4K Smart TV,00:07:57,Not latest view,RW (Rwanda)
Quin,2024-08-11 18:43:22,00:28:10,,The Rookie: Season 4: Real Crime (Episode 16),,Sony UNICORN4K Smart TV,00:41:52,00:41:52,RW (Rwanda)
Quin,2024-08-11 18:26:04,00:14:56,,The Rookie: Season 4: Real Crime (Episode 16),,Sony UNICORN4K Smart TV,00:15:04,Not latest view,RW (Rwanda)
Quin,2024-08-11 16:52:11,00:40:48,,The Rookie: Season 4: Hit List (Episode 15),,Sony UNICORN4K Smart TV,00:42:29,00:42:29,RW (Rwanda)
Quin,2024-08-11 16:51:33,00:00:01,Autoplayed: user action: None; ,The Rookie: Season 1: Pilot (Episode 1),,Sony UNICORN4K Smart TV,00:00:01,00:00:01,RW (Rwanda)
Quin,2024-08-11 16:51:09,00:00:01,Autoplayed: user action: None; ,The Rookie: Season 1: Pilot (Episode 1),,Sony UNICORN4K Smart TV,00:00:01,Not latest view,RW (Rwanda)
Quin,2024-08-11 16:48:14,00:00:05,Autoplayed: user action: None; ,Season 6 Trailer: Too Hot to Handle,HOOK,Sony UNICORN4K Smart TV,00:00:06,00:00:06,RW (Rwanda)
Quin,2024-08-10 02:57:04,00:00:17,Autoplayed: user action: None; ,Love Is Blind: UK: Season 1: The Pods Are Open (Episode 1),,TCL Malone HDR10 Smart TV,00:00:17,00:00:17,US (United States)
Quin,2024-08-10 01:57:35,00:55:39,,Love Is Blind: UK: Season 1: We Had Sex... Twice! (Episode 4),,TCL Malone HDR10 Smart TV,00:55:44,00:55:44,US (United States)
Quin,2024-08-10 01:31:54,00:18:21,,Love Is Blind: UK: Season 1: He's Here for Fame (Episode 3),,TCL Malone HDR10 Smart TV,01:00:01,01:00:01,US (United States)
Quin,2024-08-10 00:21:07,00:43:07,,Love Is Blind: UK: Season 1: He's Here for Fame (Episode 3),,TCL Malone HDR10 Smart TV,00:43:19,Not latest view,US (United States)
Quin,2024-08-09 23:08:04,01:01:41,,"Love Is Blind: UK: Season 1: Two's a Couple, Three's a Love Triangle (Episode 2)",,TCL Malone HDR10 Smart TV,01:02:53,01:02:53,US (United States)
Quin,2024-08-09 22:54:30,00:01:22,,"Love Is Blind: UK: Season 1: Two's a Couple, Three's a Love Triangle (Episode 2)",,TCL Malone HDR10 Smart TV,00:01:27,Not latest view,US (United States)
Quin,2024-08-09 21:59:44,00:54:42,Autoplayed: user action: User_Interaction; ,Love Is Blind: UK: Season 1: The Pods Are Open (Episode 1),,TCL Malone HDR10 Smart TV,00:54:42,Not latest view,US (United States)
Quin,2024-08-08 03:28:41,00:10:33,,Emily in Paris: Season 3: What's It All About... (Episode 2),,TCL Malone HDR10 Smart TV,00:10:37,Not latest view,US (United States)
Quin,2024-08-08 02:53:23,00:33:15,,Emily in Paris: Season 3: I Have Two Lovers (Episode 1),,TCL Malone HDR10 Smart TV,00:33:16,00:33:16,US (United States)
Quin,2024-08-08 02:51:24,00:01:52,Autoplayed: user action: None; ,Season 2 Recap: Emily in Paris,RECAP,TCL Malone HDR10 Smart TV,00:01:52,00:01:52,US (United States)
Quin,2024-08-08 02:51:03,00:00:08,Autoplayed: user action: None; ,Emily In Paris Season 1_BREAKOUT-TALENT_DIRECT_LIFT_LUCAS_BRAVO,HOOK,TCL Malone HDR10 Smart TV,00:00:08,00:00:08,US (United States)
Quin,2024-08-05 19:49:57,00:13:37,Autoplayed: user action: User_Interaction; ,Madame Web,,TCL Malone HDR10 Smart TV,01:48:56,01:48:56,US (United States)
Quin,2024-08-05 19:49:10,00:00:01,Autoplayed: user action: None; ,Prison Break: Season 1: Pilot (Episode 1),,TCL Malone HDR10 Smart TV,00:00:01,00:00:01,US (United States)
Quin,2024-08-05 19:48:55,00:00:08,Autoplayed: user action: None; ,Season 1 Inciting Incident Clip: A Good Girl's Guide to Murder,HOOK,TCL Malone HDR10 Smart TV,00:00:08,00:00:08,US (United States)
Quin,2024-07-31 15:10:24,00:00:09,Autoplayed: user action: None; ,The Royal Princess: Season 1_hook_02_16x9,HOOK,TCL Malone HDR10 Smart TV,00:00:09,00:00:09,US (United States)
Quin,2024-07-31 15:09:26,00:00:44,Autoplayed: user action: None; ,Eve (Korean Drama): Season 1_hook_05_16x9,HOOK,TCL Malone HDR10 Smart TV,00:00:44,Not latest view,US (United States)
Quin,2024-07-31 15:09:16,00:00:07,Autoplayed: user action: None; ,Limited Series Main Character Clip 2: The Decameron,HOOK,TCL Malone HDR10 Smart TV,00:00:07,00:00:07,US (United States)
Quin,2024-07-31 15:08:54,00:00:18,Autoplayed: user action: None; ,Motion Billboard Teaser: Beverly Hills Cop: Axel F,TEASER_TRAILER,TCL Malone HDR10 Smart TV,00:00:18,00:00:18,US (United States)
Quin,2024-07-31 15:07:47,00:00:36,Autoplayed: user action: None; ,The Double (Chinese Drama): Season 1_hook_02_16x9,HOOK,TCL Malone HDR10 Smart TV,00:00:36,00:00:36,US (United States)
Quin,2024-07-31 15:07:28,00:00:13,Autoplayed: user action: None; ,Season 1 Trailer: Receiver,TRAILER,TCL Malone HDR10 Smart TV,00:00:13,00:00:13,US (United States)
Quin,2024-07-31 15:06:09,00:01:13,Autoplayed: user action: None; ,Season 1 Cliffhanger Clip: SPRINT,HOOK,TCL Malone HDR10 Smart TV,00:01:13,00:01:13,US (United States)
Quin,2024-07-31 15:05:58,00:00:09,Autoplayed: user action: None; ,How I Met Your Mother: Season 1_hook_primary_16x9,HOOK,TCL Malone HDR10 Smart TV,00:00:09,00:00:09,US (United States)
Quin,2024-07-31 15:04:43,00:01:04,Autoplayed: user action: None; ,Season 1 Cliffhanger Clip: Simone Biles,HOOK,TCL Malone HDR10 Smart TV,00:01:04,00:01:04,US (United States)
Quin,2024-07-31 15:04:31,00:00:04,Autoplayed: user action: None; ,Trailer: Ghostbusters: Frozen Empire,TRAILER,TCL Malone HDR10 Smart TV,00:00:04,00:00:04,US (United States)
Quin,2024-07-31 15:04:09,00:00:07,Autoplayed: user action: None; ,Season 2 Clip 2: Another Self,HOOK,TCL Malone HDR10 Smart TV,00:00:07,00:00:07,US (United States)
Quin,2024-07-31 15:03:13,00:00:49,Autoplayed: user action: None; ,Season 1 Cliffhanger Clip 3: The Boyfriend,HOOK,TCL Malone HDR10 Smart TV,00:00:49,00:00:49,US (United States)
Quin,2024-07-31 15:02:55,00:00:05,Autoplayed: user action: None; ,Season 1 Sensory Clip: Owning Manhattan,HOOK,TCL Malone HDR10 Smart TV,00:00:05,00:00:05,US (United States)
Quin,2024-07-31 15:01:56,00:00:56,Autoplayed: user action: None; ,Season 1 Main Character Intro Clip: 3 Body Problem,HOOK,TCL Malone HDR10 Smart TV,00:00:56,00:00:56,US (United States)
Quin,2024-07-31 15:01:43,00:00:09,Autoplayed: user action: None; ,Land of Bad_hook_primary_16x9,HOOK,TCL Malone HDR10 Smart TV,00:00:09,Not latest view,US (United States)
Quin,2024-07-31 15:01:06,00:00:34,Autoplayed: user action: None; ,Season 1 Cliffhanger Clip: AMERICA'S SWEETHEARTS: The Dallas Cowboys Cheerleaders,HOOK,TCL Malone HDR10 Smart TV,00:00:34,00:00:34,US (United States)
Quin,2024-07-31 15:00:50,00:00:13,Autoplayed: user action: None; ,Season 1 Cliffhanger Clip: AMERICA'S SWEETHEARTS: The Dallas Cowboys Cheerleaders,HOOK,TCL Malone HDR10 Smart TV,00:00:13,Not latest view,US (United States)
Quin,2024-07-31 15:00:25,00:00:22,Autoplayed: user action: None; ,Black Sails: Season 1_hook_03_16x9,HOOK,TCL Malone HDR10 Smart TV,00:00:22,00:00:22,US (United States)
Quin,2024-07-31 14:59:13,00:00:55,Autoplayed: user action: None; ,The Man from U.N.C.L.E._hook_01_16x9,HOOK,TCL Malone HDR10 Smart TV,00:00:55,00:00:55,US (United States)
Quin,2024-07-31 14:57:21,00:01:37,Autoplayed: user action: None; ,Trailer: Find Me Falling,TRAILER,TCL Malone HDR10 Smart TV,00:01:37,00:01:37,US (United States)
Quin,2024-07-31 14:55:43,00:01:32,Autoplayed: user action: None; ,Season 1 Main Character Intro Clip: The Night Agent,HOOK,TCL Malone HDR10 Smart TV,00:01:32,00:01:32,US (United States)
